"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","test_headers","test_cases","Fri Apr 10 18:04:17 CST 2026","passed","Fri Apr 10 18:04:18 CST 2026","TestHttpbin","test_httpbin","",""
"","0","test_skip","test_cases","Fri Apr 10 18:04:19 CST 2026","skipped","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"这是一个 Error 用例 - 测试执行时发生异常","1","test_error","test_cases","Fri Apr 10 18:04:19 CST 2026","broken","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"这是一个 Unexpected passes 用例 - 预期失败但实际通过","1","test_xpass","test_cases","Fri Apr 10 18:04:19 CST 2026","passed","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"","306","test_from_yaml[test_case3]","test_cases","Fri Apr 10 18:04:11 CST 2026","passed","Fri Apr 10 18:04:12 CST 2026","TestDataDriven","test_data_driven","",""
"","362","test_status_code","test_cases","Fri Apr 10 18:04:17 CST 2026","passed","Fri Apr 10 18:04:17 CST 2026","TestHttpbin","test_httpbin","",""
"","1254","test_mock_response","test_cases","Fri Apr 10 18:04:18 CST 2026","failed","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_httpbin","",""
"","1375","test_delete_request","test_cases","Fri Apr 10 18:04:16 CST 2026","passed","Fri Apr 10 18:04:17 CST 2026","TestHttpbin","test_httpbin","",""
"","267","test_get_request","test_cases","Fri Apr 10 18:04:15 CST 2026","passed","Fri Apr 10 18:04:15 CST 2026","TestHttpbin","test_httpbin","",""
"","267","test_from_json[test_case1]","test_cases","Fri Apr 10 18:04:12 CST 2026","passed","Fri Apr 10 18:04:12 CST 2026","TestDataDriven","test_data_driven","",""
"","410","test_from_yaml[test_case2]","test_cases","Fri Apr 10 18:04:11 CST 2026","passed","Fri Apr 10 18:04:11 CST 2026","TestDataDriven","test_data_driven","",""
"","1","test_xfail","test_cases","Fri Apr 10 18:04:19 CST 2026","skipped","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"","268","test_get_user_info","test_cases","Fri Apr 10 18:04:13 CST 2026","failed","Fri Apr 10 18:04:14 CST 2026","TestExample","test_example","",""
"","0","test_pass","test_cases","Fri Apr 10 18:04:19 CST 2026","passed","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"","268","test_from_yaml[test_case1]","test_cases","Fri Apr 10 18:04:11 CST 2026","passed","Fri Apr 10 18:04:11 CST 2026","TestDataDriven","test_data_driven","",""
"使用会出错的fixture的测试用例","0","test_error_with_fixture","test_cases","Fri Apr 10 18:04:19 CST 2026","broken","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"","267","test_put_request","test_cases","Fri Apr 10 18:04:15 CST 2026","passed","Fri Apr 10 18:04:16 CST 2026","TestHttpbin","test_httpbin","",""
"","271","test_from_json[test_case2]","test_cases","Fri Apr 10 18:04:12 CST 2026","passed","Fri Apr 10 18:04:13 CST 2026","TestDataDriven","test_data_driven","",""
"","1","test_fail","test_cases","Fri Apr 10 18:04:19 CST 2026","failed","Fri Apr 10 18:04:19 CST 2026","TestHttpbin","test_sample","",""
"","697","test_from_json[test_case3]","test_cases","Fri Apr 10 18:04:13 CST 2026","passed","Fri Apr 10 18:04:13 CST 2026","TestDataDriven","test_data_driven","",""
"","1","test_update_user_info","test_cases","Fri Apr 10 18:04:15 CST 2026","failed","Fri Apr 10 18:04:15 CST 2026","TestExample","test_example","",""
"","260","test_post_request","test_cases","Fri Apr 10 18:04:15 CST 2026","passed","Fri Apr 10 18:04:15 CST 2026","TestHttpbin","test_httpbin","",""
"","267","test_from_json[test_case0]","test_cases","Fri Apr 10 18:04:12 CST 2026","passed","Fri Apr 10 18:04:12 CST 2026","TestDataDriven","test_data_driven","",""
"","2583","test_from_yaml[test_case0]","test_cases","Fri Apr 10 18:04:08 CST 2026","passed","Fri Apr 10 18:04:11 CST 2026","TestDataDriven","test_data_driven","",""
